rank,track,primaryArtist,artistCredits,year,trackId,trackPlayUrl,trackPreviewUrl,trackPopularity,durationMs,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,albumName,albumArtUrl
86,"Dreamin'",Johnny Burnette,Johnny Burnette,1960-01-01T07:00:00.000Z,3e6DgJHco44VZekE9wz8Wh,https://open.spotify.com/track/3e6DgJHco44VZekE9wz8Wh,,42,141493,11,0,4,0.794,0.471,0.449,0.0000225,0.35,-9.845,0.0546,0.715,74.673,Dreamin',https://i.scdn.co/image/ab67616d00001e0272e2dec03697f5c09e134a4c
87,"Poetry in Motion",Johnny Tillotson,Johnny Tillotson,1960-01-01T07:00:00.000Z,2HKafPuzWaKsCzcE3zFOIX,https://open.spotify.com/track/2HKafPuzWaKsCzcE3zFOIX,https://p.scdn.co/mp3-preview/09ca10e559bcae4c7bbf30149d42e2475aafe9f3?cid=957b95b824cd41e99aa58c2c544d8191,48,154467,8,1,4,0.392,0.485,0.706,0,0.0991,-7.387,0.0319,0.912,135.255,Johnny Tillotson's Best,https://i.scdn.co/image/ab67616d00001e02a3189737db01db00106acefd
88,"O Dio Mio",Annette Funicello,Annette Funicello,1960-01-01T07:00:00.000Z,6kFmfcqpy1ok5wfls2yCtZ,https://open.spotify.com/track/6kFmfcqpy1ok5wfls2yCtZ,,12,171427,5,1,4,0.192,0.389,0.412,0.00000311,0.0936,-8.131,0.0304,0.363,115.882,Italiannette,https://i.scdn.co/image/ab67616d00001e02884f6509127d001b52ff9ac9
89,"You Talk Too Much",Joe Jones,Joe Jones,1960-01-01T07:00:00.000Z,6cUIm6LO1lcMfDlBeGa4H4,https://open.spotify.com/track/6cUIm6LO1lcMfDlBeGa4H4,,19,152880,2,1,4,0.605,0.756,0.739,0.0000042,0.0736,-4.978,0.0377,0.614,125.643,"The Complete Ric & Ron Recordings, Vol. 2: Classic New Orleans R&B And More, 1958-1965",https://i.scdn.co/image/ab67616d00001e0287a8d7a3ec5a9325ab4de4c2
90,"Beatnik Fly",Johnny and the Hurricanes,Johnny and the Hurricanes,1960-01-01T07:00:00.000Z,3uHrMzdYjAUbINHGTh7M5S,https://open.spotify.com/track/3uHrMzdYjAUbINHGTh7M5S,https://p.scdn.co/mp3-preview/186ef51b0aba152d359ab58fb690efd853cbb393?cid=957b95b824cd41e99aa58c2c544d8191,16,129667,5,1,4,0.888,0.541,0.62,0.288,0.12,-15.603,0.0332,0.931,88.364,Rock 'N' Roll Legend: Johnny And The Hurricanes,https://i.scdn.co/image/ab67616d00001e0234006b204580f0b71b57f5cb
91,"When Will I Be Loved",The Everly Brothers,The Everly Brothers,1960-01-01T07:00:00.000Z,27TC9sT6A3Tr29O9Ya3xWL,https://open.spotify.com/track/27TC9sT6A3Tr29O9Ya3xWL,https://p.scdn.co/mp3-preview/888443c6f5fbf9bfe9377f47b67e0d7e637fca62?cid=957b95b824cd41e99aa58c2c544d8191,31,125973,11,1,4,0.0933,0.583,0.478,0,0.196,-9.868,0.0279,0.899,118.019,The Fabulous Style Of The Everly Brothers,https://i.scdn.co/image/ab67616d00001e022407eaf52d4290339bd69f1c
92,"Let's Think About Living",Bob Luman,Bob Luman,1960-01-01T07:00:00.000Z,2KwHEWuvd2JCWVK0oQyLkf,https://open.spotify.com/track/2KwHEWuvd2JCWVK0oQyLkf,https://p.scdn.co/mp3-preview/443bdda9cf1d7160a3ca9e4dca13bce43bc9f7b4?cid=957b95b824cd41e99aa58c2c544d8191,29,128800,2,1,4,0.744,0.613,0.701,0,0.322,-11.366,0.0755,0.964,96.795,Let's Think About Living - The Best Of Bob Luman,https://i.scdn.co/image/ab67616d00001e02a2261ebe015ef13f2fafa1db
93,"Heartaches by the Number",Guy Mitchell,Guy Mitchell,1960-01-01T07:00:00.000Z,1KcSPQqbbbBCFyAVmJySst,https://open.spotify.com/track/1KcSPQqbbbBCFyAVmJySst,https://p.scdn.co/mp3-preview/4ac57d2fa6042aa7a2f88c3af43d430b678e8eb9?cid=957b95b824cd41e99aa58c2c544d8191,52,151720,5,1,4,0.481,0.614,0.562,0.0000046,0.12,-11.999,0.0815,0.815,171.677,Guy Mitchell,https://i.scdn.co/image/ab67616d00001e02046e3fd5d9ce175d66b785e7
94,"My Little Corner of the World",Anita Bryant,Anita Bryant,1960-01-01T07:00:00.000Z,1NAvZNIUfC79QACBJ7qhK0,https://open.spotify.com/track/1NAvZNIUfC79QACBJ7qhK0,https://p.scdn.co/mp3-preview/3275a706262296afa357ae543a0cee656f993a03?cid=957b95b824cd41e99aa58c2c544d8191,17,150280,9,0,4,0.727,0.532,0.293,0.00000292,0.143,-11.052,0.0296,0.422,113.421,On Rute 66,https://i.scdn.co/image/ab67616d00001e024e7e8b7e28a699e1c5019685
95,"Doggin' Around",Jackie Wilson,Jackie Wilson,1960-01-01T07:00:00.000Z,1uXopyJyRjXsjFtlAXhMd4,https://open.spotify.com/track/1uXopyJyRjXsjFtlAXhMd4,https://p.scdn.co/mp3-preview/25e688882360a88350d364606e292a23f9a678f4?cid=957b95b824cd41e99aa58c2c544d8191,27,171840,5,1,3,0.801,0.568,0.367,0.0000167,0.059,-9.912,0.0256,0.383,94.096,Jackie Sings The Blues,https://i.scdn.co/image/ab67616d00001e02d30048d6a424e91630f3f009
96,"Little Bitty Girl",Bobby Rydell,Bobby Rydell,1960-01-01T07:00:00.000Z,0ZqhPLdc7yEv6iADB7no3F,https://open.spotify.com/track/0ZqhPLdc7yEv6iADB7no3F,,26,145360,1,1,4,0.559,0.61,0.623,0,0.137,-6.212,0.039,0.841,121.207,The Best Of Bobby Rydell,https://i.scdn.co/image/ab67616d00001e0202a17b44a576ca7deff8d37d
97,"Money (That's What I Want)",Barrett Strong,Barrett Strong,1960-01-01T07:00:00.000Z,5ygqNg50ux6hm9YEbkriWS,https://open.spotify.com/track/5ygqNg50ux6hm9YEbkriWS,,48,157947,5,1,4,0.25,0.646,0.93,0,0.154,-3.233,0.0374,0.946,132.366,Money (That's What I Want) - MotownSelect.com,https://i.scdn.co/image/ab67616d00001e0294c0dfd627f899b43347811c
98,"Stay",Maurice Williams and the Zodiacs,Maurice Williams and the Zodiacs,1960-01-01T07:00:00.000Z,5R2DZitRTDYtrkCoJiddct,https://open.spotify.com/track/5R2DZitRTDYtrkCoJiddct,https://p.scdn.co/mp3-preview/94ac7ba7c6037b4b380cd078a105bb66495d1a08?cid=957b95b824cd41e99aa58c2c544d8191,56,94907,7,0,4,0.842,0.555,0.404,0,0.218,-14.187,0.0621,0.736,120.509,Dirty Dancing (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d00001e02ac19c6552524d207aac1277b
99,"Lonely Weekends",Charlie Rich,Charlie Rich,1960-01-01T07:00:00.000Z,1tL2FLp4uGJgDKr6TdXhen,https://open.spotify.com/track/1tL2FLp4uGJgDKr6TdXhen,https://p.scdn.co/mp3-preview/3ff3a01fed026b24e7cf2b87dcd51922c35364ab?cid=957b95b824cd41e99aa58c2c544d8191,1,128373,5,1,4,0.32,0.63,0.83,0.0231,0.13,-8.886,0.0494,0.802,92.141,Lonely Weekends - The Sun Years: 1958-1962,https://i.scdn.co/image/ab67616d00001e02054f1237a980a3e0091cfb72
100,"Sandy",Larry Hall,Larry Hall,1960-01-01T07:00:00.000Z,7vF9CfYTUiif1wHSFdrTyN,https://open.spotify.com/track/7vF9CfYTUiif1wHSFdrTyN,https://p.scdn.co/mp3-preview/cec0b11613cc3d597b7b27c2415c5172d000946d?cid=957b95b824cd41e99aa58c2c544d8191,13,145027,0,1,4,0.47,0.633,0.484,0.000141,0.1,-8.507,0.0269,0.814,80.543,Rubber Biscuit: Essential '50s Hits,https://i.scdn.co/image/ab67616d00001e02e4d78ec5a8ac164c3cc72ca0
1,"Tossin' and Turnin'",Bobby Lewis,Bobby Lewis,1961-01-01T07:00:00.000Z,79s3pSe1u6ggQBEwVPm58Z,https://open.spotify.com/track/79s3pSe1u6ggQBEwVPm58Z,https://p.scdn.co/mp3-preview/d340a8b24bc643759f7ef677c9bf570e6626464c?cid=957b95b824cd41e99aa58c2c544d8191,45,159640,0,1,4,0.225,0.569,0.722,0,0.108,-8.914,0.0393,0.965,142.736,Tossin' and Turnin',https://i.scdn.co/image/ab67616d00001e0227a14ffdb3f5209b6e1e8fa3
2,"I Fall to Pieces",Patsy Cline,Patsy Cline,1961-01-01T07:00:00.000Z,6zFsz86nAj5gcvzyVqNL3k,https://open.spotify.com/track/6zFsz86nAj5gcvzyVqNL3k,,62,171333,10,1,4,0.917,0.481,0.0568,0,0.12,-20.508,0.0357,0.505,111.799,Showcase,https://i.scdn.co/image/ab67616d00001e026fda96b0954b958ee44c8efc
3,"Michael",The Highwaymen,The Highwaymen,1961-01-01T07:00:00.000Z,624RgBQtIm3147GMl9FNCl,https://open.spotify.com/track/624RgBQtIm3147GMl9FNCl,https://p.scdn.co/mp3-preview/1c0120aa208ec2de54ec7d5345df10fcc7de2206?cid=957b95b824cd41e99aa58c2c544d8191,12,166160,0,1,4,0.839,0.52,0.0979,0.00000618,0.183,-21.351,0.0301,0.648,107.527,The Highwaymen,https://i.scdn.co/image/ab67616d00001e02e8a1719375f98fbba34313eb
4,"Crying",Roy Orbison,Roy Orbison,1961-01-01T07:00:00.000Z,6eLL7QTdMWdhhG4i3jHDR9,https://open.spotify.com/track/6eLL7QTdMWdhhG4i3jHDR9,https://p.scdn.co/mp3-preview/8f4a6c0df372d64d79dff5110f575faadda74200?cid=957b95b824cd41e99aa58c2c544d8191,61,166467,2,1,4,0.758,0.35,0.293,0.00000821,0.104,-9.502,0.0258,0.162,96.685,Crying,https://i.scdn.co/image/ab67616d00001e022b150c08d3c57a785b02c578
5,"Runaway",Del Shannon,Del Shannon,1961-01-01T07:00:00.000Z,45Szkclj1lt4ubm7RFK68t,https://open.spotify.com/track/45Szkclj1lt4ubm7RFK68t,https://p.scdn.co/mp3-preview/742e2dec0ca2de1810a40bad0cf663affcd327c0?cid=957b95b824cd41e99aa58c2c544d8191,62,137307,10,0,4,0.153,0.594,0.533,0.0000149,0.172,-7.993,0.0438,0.729,78.552,Runaway with Del Shannon,https://i.scdn.co/image/ab67616d00001e02f1fdd06fe4e73052f3a5a26c
6,"My True Story",The Jive Five,The Jive Five,1961-01-01T07:00:00.000Z,1paWReMsPIqKGEOxdlHT2D,https://open.spotify.com/track/1paWReMsPIqKGEOxdlHT2D,https://p.scdn.co/mp3-preview/d6726dd2f57f3941127946042209aa040fd98d37?cid=957b95b824cd41e99aa58c2c544d8191,43,155960,3,1,3,0.768,0.254,0.465,0,0.315,-7.421,0.0325,0.642,183.362,Collectors Gold Series,https://i.scdn.co/image/ab67616d00001e023a993be25da26c930ce9eb65
7,"Pony Time",Chubby Checker,Chubby Checker,1961-01-01T07:00:00.000Z,2XPEv2sB6c44DSocT2TwAc,https://open.spotify.com/track/2XPEv2sB6c44DSocT2TwAc,https://p.scdn.co/mp3-preview/6e3df7252bb80a6c2286591fe6974515e24cca77?cid=957b95b824cd41e99aa58c2c544d8191,32,147427,8,1,4,0.00868,0.453,0.609,0.0000343,0.0797,-6.662,0.0296,0.96,77.36,Chubby Checker Classics,https://i.scdn.co/image/ab67616d00001e02d13f4d5f1d5d19f25783f505
8,"Wheels",The String-A-Longs,The String-A-Longs,1961-01-01T07:00:00.000Z,789lq0oHhOa4pHh2y9rjkN,https://open.spotify.com/track/789lq0oHhOa4pHh2y9rjkN,https://p.scdn.co/mp3-preview/b7b5ef0549a4de7ab73ad8e8bfe1927d418b707e?cid=957b95b824cd41e99aa58c2c544d8191,36,116360,0,1,4,0.689,0.787,0.623,0.0932,0.144,-8.241,0.0359,0.869,128.327,The Very Best Of The String-A-Longs,https://i.scdn.co/image/ab67616d00001e02690776103185725b62ba000e
9,"Raindrops",Dee Clark,Dee Clark,1961-01-01T07:00:00.000Z,6CqTD9nWwf8R1yPVkIVdF5,https://open.spotify.com/track/6CqTD9nWwf8R1yPVkIVdF5,https://p.scdn.co/mp3-preview/012cee7a29c3f0c6fd4bbb6a25dbd902781b0158?cid=957b95b824cd41e99aa58c2c544d8191,24,179665,7,1,1,0.452,0.381,0.719,0,0.689,-7.613,0.0494,0.563,114.086,"Hold on, It's Dee Clark",https://i.scdn.co/image/ab67616d00001e024d620a3c13b2bb5c4e32bacc
10,"Wooden Heart",Joe Dowell,Joe Dowell,1961-01-01T07:00:00.000Z,2ELAMT68a78OGwhCgj9Kai,https://open.spotify.com/track/2ELAMT68a78OGwhCgj9Kai,,18,118427,1,1,4,0.713,0.844,0.462,0.0234,0.106,-9.855,0.0525,0.947,84.913,The Best Of Joe Dowell,https://i.scdn.co/image/ab67616d00001e0271a53b93922682760af8abb8
11,"Calcutta",Lawrence Welk,Lawrence Welk,1961-01-01T07:00:00.000Z,1iXx0IlX5j33jyumZjBWU4,https://open.spotify.com/track/1iXx0IlX5j33jyumZjBWU4,https://p.scdn.co/mp3-preview/c25897a983dd79f38acc99e65e53337dafd75c08?cid=957b95b824cd41e99aa58c2c544d8191,14,132173,0,1,4,0.588,0.482,0.681,0.683,0.405,-9.114,0.0263,0.963,81.997,My Best (Remastered),https://i.scdn.co/image/ab67616d00001e0223cd0d5f761e4cd8a101b38c
12,"Take Good Care of My Baby",Bobby Vee,Bobby Vee,1961-01-01T07:00:00.000Z,1MR7XamWS0XH6vZxeeRdE0,https://open.spotify.com/track/1MR7XamWS0XH6vZxeeRdE0,,57,150867,1,1,4,0.698,0.491,0.431,0,0.124,-12.257,0.0609,0.661,82.445,The Legendary Masters Series,https://i.scdn.co/image/ab67616d00001e0264909755e2b05cb921d5e162
13,"Running Scared",Roy Orbison,Roy Orbison,1961-01-01T07:00:00.000Z,6sbj89WozjblBMa5u41orw,https://open.spotify.com/track/6sbj89WozjblBMa5u41orw,https://p.scdn.co/mp3-preview/5a0fdb0a9b0ccfb9dc50e1facae54217f7b5188b?cid=957b95b824cd41e99aa58c2c544d8191,45,132040,9,1,3,0.778,0.572,0.392,0.000435,0.15,-10.555,0.0325,0.381,128.255,Crying,https://i.scdn.co/image/ab67616d00001e022b150c08d3c57a785b02c578
14,"Dedicated to the One I Love",The Shirelles,The Shirelles,1961-01-01T07:00:00.000Z,36f5xtZ2CXIc1WOirnnD3j,https://open.spotify.com/track/36f5xtZ2CXIc1WOirnnD3j,https://p.scdn.co/mp3-preview/a15f8c09b9d511eb5146b80e8570038d3f76157b?cid=957b95b824cd41e99aa58c2c544d8191,43,120307,10,1,4,0.812,0.398,0.325,0,0.169,-6.159,0.0382,0.454,80.563,Tonight's The Night,https://i.scdn.co/image/ab67616d00001e02b88a6f4d9ecb90789a6f7d07
15,"Last Night",The Mar-Keys,The Mar-Keys,1961-01-01T07:00:00.000Z,7H22uQMwKWl43uagzO4Pnn,https://open.spotify.com/track/7H22uQMwKWl43uagzO4Pnn,https://p.scdn.co/mp3-preview/a5c78a01bf9f0065b7b246a7072e1556b966f6d1?cid=957b95b824cd41e99aa58c2c544d8191,37,159173,0,1,4,0.448,0.723,0.565,0.866,0.0708,-4.175,0.0386,0.859,126.588,The Last Night!,https://i.scdn.co/image/ab67616d00001e0244e5f4c58dbecf728edd50fe
16,"Will You Love Me Tomorrow",The Shirelles,The Shirelles,1961-01-01T07:00:00.000Z,0bwy3sGHeYwng2Ioicq6wf,https://open.spotify.com/track/0bwy3sGHeYwng2Ioicq6wf,https://p.scdn.co/mp3-preview/7204639586ec60bc1fac2e3eceef401b320d4da6?cid=957b95b824cd41e99aa58c2c544d8191,62,160693,0,1,4,0.312,0.55,0.382,0.0000111,0.221,-6.429,0.0263,0.464,136.128,Tonight's The Night,https://i.scdn.co/image/ab67616d00001e02b88a6f4d9ecb90789a6f7d07
17,"Exodus",Ferrante & Teicher,Ferrante & Teicher,1961-01-01T07:00:00.000Z,4pKUJwmq9mYcs1KNUsqAHH,https://open.spotify.com/track/4pKUJwmq9mYcs1KNUsqAHH,,31,176760,2,0,4,0.857,0.477,0.231,0.497,0.0638,-11.842,0.0259,0.246,98.226,All-Time Great Movie Themes,https://i.scdn.co/image/ab67616d00001e02c5bfb7a153dbfe2a8fde91ff
18,"Where the Boys Are",Connie Francis,Connie Francis,1961-01-01T07:00:00.000Z,70UvKFI48DAQ2suS58bu5l,https://open.spotify.com/track/70UvKFI48DAQ2suS58bu5l,,48,157587,0,1,3,0.81,0.366,0.408,0,0.328,-4.85,0.0301,0.378,108.819,Gold,https://i.scdn.co/image/ab67616d00001e02c9a04e077308f223269e240f
19,"Hit the Road Jack",Ray Charles,Ray Charles,1961-01-01T07:00:00.000Z,5yQFVCQkupKqTJecbXA7qT,https://open.spotify.com/track/5yQFVCQkupKqTJecbXA7qT,https://p.scdn.co/mp3-preview/fec621b55ee4ff8f84eb42c662f4ebe50a69ac5e?cid=957b95b824cd41e99aa58c2c544d8191,55,119987,8,0,4,0.628,0.559,0.631,0,0.336,-11.184,0.229,0.929,173.172,Zou bisou bisou,https://i.scdn.co/image/ab67616d00001e021474cf53dbc78bd0c403e1c1
20,"Sad Movies (Make Me Cry)",Sue Thompson,Sue Thompson,1961-01-01T07:00:00.000Z,5PYEBQrRHWoMuRr5Ers9vR,https://open.spotify.com/track/5PYEBQrRHWoMuRr5Ers9vR,https://p.scdn.co/mp3-preview/8e7d445eeafb0d63d51aa3fc4f2d4f827139ee9b?cid=957b95b824cd41e99aa58c2c544d8191,39,199347,2,1,4,0.888,0.61,0.272,0.00000711,0.245,-10.071,0.0286,0.608,107.116,Essential Sue Thompson,https://i.scdn.co/image/ab67616d00001e02e82eff0514f9b38a302c8c3f
21,"Mother-in-Law",Ernie K-Doe,Ernie K-Doe,1961-01-01T07:00:00.000Z,39h384i9hij2H9Qtl9XUuu,https://open.spotify.com/track/39h384i9hij2H9Qtl9XUuu,https://p.scdn.co/mp3-preview/286c0d98e51e60d275adf8df69cc451545fd4f8d?cid=957b95b824cd41e99aa58c2c544d8191,30,153093,7,0,4,0.77,0.81,0.524,0.0000103,0.161,-9.77,0.0339,0.949,130.214,Mother-In-Law,https://i.scdn.co/image/ab67616d00001e02910014a9175d966ad3880319
22,"Bristol Stomp",The Dovells,The Dovells,1961-01-01T07:00:00.000Z,0B1cm1Z7J9v8Wug9idr8T6,https://open.spotify.com/track/0B1cm1Z7J9v8Wug9idr8T6,,38,138893,2,1,4,0.626,0.655,0.77,0,0.541,-6.338,0.0649,0.9,105.394,The Best Of The Dovells 1961-1965,https://i.scdn.co/image/ab67616d00001e02a158ffad118b006851856bef
23,"Travelin' Man",Ricky Nelson,Ricky Nelson,1961-01-01T07:00:00.000Z,1sM0yZDxUhPQhkDh2CLd6l,https://open.spotify.com/track/1sM0yZDxUhPQhkDh2CLd6l,,57,143200,2,1,4,0.667,0.723,0.44,0,0.128,-10.536,0.0319,0.843,123.217,Rick Is 21,https://i.scdn.co/image/ab67616d00001e02ba71c9b2269ede8b6127fca3
24,"Shop Around",The Miracles,The Miracles,1961-01-01T07:00:00.000Z,47IRIQxGDe2Sc6F4pe2FMf,https://open.spotify.com/track/47IRIQxGDe2Sc6F4pe2FMf,,51,170760,7,1,4,0.809,0.552,0.7,0,0.805,-4.533,0.0295,0.901,132.005,Hi We're The Miracles,https://i.scdn.co/image/ab67616d00001e02fd040275436fdfc7005c1757
25,"The Boll Weevil Song",Brook Benton,Brook Benton,1961-01-01T07:00:00.000Z,5gCkto8RSjGPynLo3GjOk0,https://open.spotify.com/track/5gCkto8RSjGPynLo3GjOk0,,20,160000,0,1,4,0.248,0.716,0.34,0.00000289,0.309,-17.01,0.0585,0.661,133.337,Greatest Hits: The Mercury Years,https://i.scdn.co/image/ab67616d00001e0262c93ff7e8b9297f1b2e88f7
26,"A Hundred Pounds of Clay",Gene McDaniels,Gene McDaniels,1961-01-01T07:00:00.000Z,4s9qKAu0wMyIWVUB7Cuv3j,https://open.spotify.com/track/4s9qKAu0wMyIWVUB7Cuv3j,,35,142027,0,1,4,0.604,0.684,0.389,0,0.369,-10.933,0.035,0.824,129.06,100 Lbs Of Clay!,https://i.scdn.co/image/ab67616d00001e02a60f46fb87370066ac8fdd45
27,"The Mountain's High",Dick and Dee Dee,Dick and Dee Dee,1961-01-01T07:00:00.000Z,0YVlMTY2kaQc2fxu2ezlI6,https://open.spotify.com/track/0YVlMTY2kaQc2fxu2ezlI6,,29,135707,1,1,4,0.683,0.686,0.771,0.137,0.333,-8.764,0.0594,0.94,118.176,Lost Hits Of The 60's (All Original Artists & Versions),https://i.scdn.co/image/ab67616d00001e02f8c554e3aabe57f9d5cba30e
28,"Don't Worry",Marty Robbins,Marty Robbins,1961-01-01T07:00:00.000Z,0dPfKBYyPmoSfoLJqeKAs4,https://open.spotify.com/track/0dPfKBYyPmoSfoLJqeKAs4,https://p.scdn.co/mp3-preview/f860e20d566d362d1354004332c5d483d12b140d?cid=957b95b824cd41e99aa58c2c544d8191,47,194160,4,1,4,0.879,0.648,0.165,0.000216,0.13,-16.446,0.0348,0.435,99.585,The Story Of My Life: The Best Of Marty Robbins 1952-1965,https://i.scdn.co/image/ab67616d00001e02de6a96b9d62a611e4ffc7756
29,"On the Rebound",Floyd Cramer,Floyd Cramer,1961-01-01T07:00:00.000Z,2vdjYcYAmectRUOiR9Blk3,https://open.spotify.com/track/2vdjYcYAmectRUOiR9Blk3,https://p.scdn.co/mp3-preview/f35950213528c39dcb3f2ae66dadfabef7929d00?cid=957b95b824cd41e99aa58c2c544d8191,32,126107,9,1,4,0.371,0.535,0.683,0.0133,0.205,-11.677,0.0334,0.912,150.742,On the Rebound,https://i.scdn.co/image/ab67616d00001e022b9f21ae6d383b648a20765d
30,"Portrait of My Love",Steve Lawrence,Steve Lawrence,1961-01-01T07:00:00.000Z,6csU5EvfcRi2NNoOwNVg8A,https://open.spotify.com/track/6csU5EvfcRi2NNoOwNVg8A,https://p.scdn.co/mp3-preview/c9cf5cdcd8036ad266946c54901d049436116fe9?cid=957b95b824cd41e99aa58c2c544d8191,34,170692,0,1,4,0.85,0.31,0.312,0.0000451,0.325,-9.321,0.0269,0.256,90.169,Going Solo with Steve Lawrence,https://i.scdn.co/image/ab67616d00001e022937a1a01b449454425631f0
31,"Quarter to Three",Gary U.S. Bonds,Gary U.S. Bonds,1961-01-01T07:00:00.000Z,7aHn8rGeEGkDkQiUV0DpW1,https://open.spotify.com/track/7aHn8rGeEGkDkQiUV0DpW1,,35,150400,0,0,4,0.929,0.473,0.824,0.0547,0.866,-9.325,0.178,0.923,165.457,The Very Best Of Gary U.S. Bonds (The Original Legrand Masters),https://i.scdn.co/image/ab67616d00001e02aa777eae745ac37d1234a3a8
32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,Barry Mann,1961-01-01T07:00:00.000Z,30txFxKhnMJqUXz0xx0x39,https://open.spotify.com/track/30txFxKhnMJqUXz0xx0x39,https://p.scdn.co/mp3-preview/e3f76d2b8d12b3de6f71512ee94251ead44b5418?cid=957b95b824cd41e99aa58c2c544d8191,42,167227,7,1,4,0.516,0.366,0.681,0,0.303,-8.468,0.0672,0.86,169.346,The Complete Best Of,https://i.scdn.co/image/ab67616d00001e027d008867a996e72ecb8bc778
33,"Calendar Girl",Neil Sedaka,Neil Sedaka,1961-01-01T07:00:00.000Z,7Gpx2fNJiilvrf9Ss8qbit,https://open.spotify.com/track/7Gpx2fNJiilvrf9Ss8qbit,https://p.scdn.co/mp3-preview/e4d31d555fcf725767f6a77c9a69a081df5e80aa?cid=957b95b824cd41e99aa58c2c544d8191,53,159693,8,0,4,0.397,0.703,0.649,0,0.209,-7.727,0.0312,0.862,122.719,Rock with Sedaka (Expanded Edition),https://i.scdn.co/image/ab67616d00001e023843b432892fdff0ffd2c96d
34,"I Like It Like That",Chris Kenner,Chris Kenner,1961-01-01T07:00:00.000Z,5wIxMTfyrSEx4w1MxaM96c,https://open.spotify.com/track/5wIxMTfyrSEx4w1MxaM96c,https://p.scdn.co/mp3-preview/5fdf617cfafde4513d99fbaf6c98ad4fc8df1ac8?cid=957b95b824cd41e99aa58c2c544d8191,35,117600,5,1,4,0.832,0.589,0.568,0,0.272,-11.295,0.0806,0.777,144.566,Full Metal Jacket (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d00001e02806bd6155f9a3be9a8e8c6b1
35,"Apache",Jørgen Ingmann,Jørgen Ingmann,1961-01-01T07:00:00.000Z,0FKNRNN2mcY9dBjenoxbeY,https://open.spotify.com/track/0FKNRNN2mcY9dBjenoxbeY,https://p.scdn.co/mp3-preview/4ed252623e67d3bc37f6e20bd6e3d13b8ebd7e72?cid=957b95b824cd41e99aa58c2c544d8191,33,175520,9,0,4,0.894,0.644,0.492,0.922,0.117,-13.646,0.0468,0.248,129.089,Atlantic 60th: Instrumental Jams,https://i.scdn.co/image/ab67616d00001e02e88b0d4e415fb9125132d8a1
36,"Don't Bet Money Honey",Linda Scott,Linda Scott,1961-01-01T07:00:00.000Z,4ohGPLUDXQHLulXEy1xA24,https://open.spotify.com/track/4ohGPLUDXQHLulXEy1xA24,https://p.scdn.co/mp3-preview/46dce58bd28778318175c46d3de62fd4bdab0030?cid=957b95b824cd41e99aa58c2c544d8191,2,153156,5,1,3,0.288,0.74,0.183,0.834,0.0959,-12.344,0.0392,0.608,100.355,40 Super Hits Karaoke: 50's & 60's V5,https://i.scdn.co/image/ab67616d00001e028d83996eaa9f7de0f616b125
37,"Without You",Johnny Tillotson,Johnny Tillotson,1961-01-01T07:00:00.000Z,5HbuNDquUjgOoJIozrdayL,https://open.spotify.com/track/5HbuNDquUjgOoJIozrdayL,https://p.scdn.co/mp3-preview/19a6c5b838fce2167cc772333d09a6bd44b2fccd?cid=957b95b824cd41e99aa58c2c544d8191,29,128800,2,1,3,0.425,0.537,0.558,0.636,0.119,-5.701,0.0263,0.709,99.333,Johnny Tillotson's Best,https://i.scdn.co/image/ab67616d00001e02a3189737db01db00106acefd
38,"Wings of a Dove",Ferlin Husky,Ferlin Husky,1961-01-01T07:00:00.000Z,31vF1iGX0S3Dtv0rQfEksJ,https://open.spotify.com/track/31vF1iGX0S3Dtv0rQfEksJ,https://p.scdn.co/mp3-preview/6aea2f76dca57eb2276004892f7dac0473b4c298?cid=957b95b824cd41e99aa58c2c544d8191,43,142907,4,1,3,0.497,0.5,0.319,0,0.101,-15.735,0.039,0.646,177.489,Country Greats,https://i.scdn.co/image/ab67616d00001e02c19b3d4d432262b7e9ec97be
39,"Little Sister",Elvis Presley,Elvis Presley,1961-01-01T07:00:00.000Z,5jRnmQJAwBbtikNcvYbp3B,https://open.spotify.com/track/5jRnmQJAwBbtikNcvYbp3B,https://p.scdn.co/mp3-preview/f209106ffb311ccaf58a98b5249dc68b47da4d8e?cid=957b95b824cd41e99aa58c2c544d8191,56,151387,9,1,4,0.434,0.602,0.619,0,0.364,-11.751,0.0768,0.902,139.6,"Elvis' Golden Records, Vol. 3",https://i.scdn.co/image/ab67616d00001e02a22455d1ff7031adeaa90a40
40,"Blue Moon",The Marcels,The Marcels,1961-01-01T07:00:00.000Z,0pnfT3OLqlnIvO0uMYgCfM,https://open.spotify.com/track/0pnfT3OLqlnIvO0uMYgCfM,https://p.scdn.co/mp3-preview/c06eec5f516ce6a078a47398f94d9583b055ba5e?cid=957b95b824cd41e99aa58c2c544d8191,46,133453,7,1,4,0.698,0.617,0.444,0,0.0999,-10.133,0.0371,0.913,127.699,Blue Moon / Goodbye To Love [Digital 45],https://i.scdn.co/image/ab67616d00001e0232a50a79f0e07e5aebe3d306
